Date,Demand (MW),Temp_max,Temp_min,Humidity,Pressure,Wind_speed,Population Density
1/1/2012,484,28,14,62,1015,4,4272975
2/1/2012,476,21,16,87,1014,4,4272975
3/1/2012,484,23,14,85,1015,4,4272975
4/1/2012,481,24,15,83,1014,5,4272975
5/1/2012,484,25,13,77,1014,4,4272975
6/1/2012,477,24,13,80,1015,4,4272975
7/1/2012,501,25,14,72,1017,6,4272975
8/1/2012,484,25,16,76,1015,4,4272975
9/1/2012,492,20,17,86,1016,4,4272975
10/1/2012,486,22,14,84,1016,4,4272975
11/1/2012,491,26,17,77,1016,4,4272975
12/1/2012,480,18,14,86,1015,4,4272975
13/01/2012,474,20,10,83,1016,4,4272975
14/01/2012,493,20,8,81,1014,7,4272975
15/01/2012,493,22,8,79,1012,6,4272975
16/01/2012,486,23,9,74,1011,6,4272975
17/01/2012,493,26,9,75,1010,7,4272975
18/01/2012,489,25,14,81,1012,4,4272975
19/01/2012,489,26,14,82,1011,4,4272975
20/01/2012,477,26,13,80,1012,4,4272975
21/01/2012,485,26,13,85,1013,4,4272975
22/01/2012,495,23,10,73,1015,6,4272975
23/01/2012,494,22,8,81,1013,4,4272975
24/01/2012,512,24,9,74,1014,4,4272975
25/01/2012,503,25,9,73,1014,6,4272975
26/01/2012,498,25,10,74,1015,6,4272975
27/01/2012,490,26,11,76,1013,4,4272975
28/01/2012,491,25,10,66,1015,4,4272975
29/01/2012,512,25,10,66,1015,4,4272975
30/01/2012,508,26,10,70,1014,6,4272975
31/01/2012,680,26,9,71,1015,5,4272975
1/2/2012,650,25,10,70,1014,4,4272975
2/2/2012,652,25,9,60,1017,6,4272975
3/2/2012,563,27,8,65,1015,4,4272975
4/2/2012,548,29,10,67,1014,6,4272975
5/2/2012,500,28,11,62,1014,4,4272975
6/2/2012,512,29,12,68,1012,6,4272975
7/2/2012,510,29,13,68,1013,4,4272975
8/2/2012,518,28,12,61,1013,4,4272975
9/2/2012,510,28,17,74,1012,4,4272975
10/2/2012,504,25,15,63,1014,6,4272975
11/2/2012,504,26,10,66,1014,4,4272975
12/2/2012,505,25,9,67,1016,4,4272975
13/02/2012,506,25,10,68,1017,4,4272975
14/02/2012,505,27,11,58,1015,9,4272975
15/02/2012,513,28,15,63,1012,4,4272975
16/02/2012,502,27,18,70,1013,4,4272975
17/02/2012,504,29,17,67,1014,4,4272975
18/02/2012,505,17,17,68,1012,7,4272975
19/02/2012,508,27,12,69,1014,6,4272975
